step=16 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=17 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=18 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=19 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=20 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=21 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=22 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=23 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=24 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=25 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=26 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=27 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=28 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=29 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=30 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=31 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=32 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=33 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=34 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=35 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=36 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=37 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=38 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=39 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=40 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=41 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=42 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=43 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=44 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=45 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=46 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=47 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=48 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=49 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=50 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=51 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=52 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=53 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=54 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=55 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=56 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=57 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=58 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=59 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=60 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=61 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=62 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=63 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=64 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=65 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=66 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=67 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=68 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=69 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=70 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=71 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=72 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=73 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=74 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=75 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
step=76 min=[0.0, 0.0, 0.0] mean=[0.0, 0.0, 0.0] max=[0.0, 0.0, 0.0] env0=[0.0, 0.0, 0.0]
